,prozhito_id,sex,occupation_type,relationship_status,education_level,social_class,geographic_type,historical_context,desc_clean
0,7374,F,creative,unknown,unknown,unknown,urban,unknown,"жительница петербурга, певица. вела дневник в 1911 -1912 годы, находясь в разных российских и европейских городах."
1,1952,F,manual_labor,unknown,secondary,working_class,urban,unknown,учащаяся обувного техникума (1947 год). с 1948 года учащаяся 8 класса школы рабочей молодежи №1 кировского района города ярославль.
2,1941,F,student,unknown,secondary,unknown,urban,unknown,"родилась не ранее 1897. во время ведения дневника &mdash; предположительно, гимназистка. жила в г. самара. вела дневник в 1912-1913 годах."
3,2476,M,manual_labor,unknown,unknown,working_class,urban,unknown,"поручик. в августе-сентябре 1916 года попал во францию. в январе 1918 года был в рабочей команде в районе города шамбли, с января по апрель - в деревне пассонфонтен близ города безансон, под командованием капитана анисимова, в апреле-мае в деревне уарьер."
4,6983,M,technical,unknown,unknown,unknown,urban,unknown,уроженец тулы. военный инженер. впоследствии работал в центральном проектном институте министерства обороны главным инженером проекта. вел дневник в 1952 году.
5,2525,M,creative,unknown,unknown,unknown,urban,blockade_witness,"железнодорожник, писатель. свидетель блокады ленинграда."
6,308,M,technical,married,unknown,unknown,unknown,unknown,"минометчик, агротехник. муж а. авдеевой."
7,2485,F,manual_labor,unknown,unknown,working_class,urban,blockade_witness,во время ведения дневника - рабочая на фабрике им. бебеля в ленинграде. свидетельница блокады ленинграда.
8,5436,F,creative,unknown,unknown,unknown,urban,honors,"поэтесса. член союза писателей ссср. почетный гражданин волгограда. на ее стихи были написаны ставшие известными песни &laquo;растет в волгограде березка&raquo;, &laquo;солдату сталинграда&raquo;, &laquo;а где мне взять такую песню&raquo;, &laquo;подари мне платок&hellip;&raquo;"
9,1895,M,military,unknown,secondary,party_member,urban,unknown,"родился в семеновской волости архангельской губернии, деревня лихачёва. окончил лгпи им. герцена, с начала 1930-х на педагогической работе в кадуйском районе вологодской области. член кпсс с 1928 г. участвовал в великой отечественной войне в 1943-45 гг., волховский и 1-й прибалтийский фронт, капитан, награжден орденами красной звезды и отечественной войны 2-й степени. после войны до пенсии работал в средней школе пос. уйта кадуйского района, в последние годы проживал в г. череповце вместе с дочерью ольгой."
10,2196,M,unknown,unknown,unknown,unknown,urban,blockade_witness,"свидетель блокады ленинграда. эвакуирован, затем призван в армию. пропал без вести под берлином в марте 1945 г."
